AñoMes;CT;CM;Capacidad Efectiva;Capacidad Total;%Eficiencia
01/04/2026;CT-016;C-20;0;155;0
01/04/2026;CT-028;C-25;0;155;0
01/04/2026;CT-001;B9;0;300,25;0
01/04/2026;CT-001;B10;0;300,25;0
01/04/2026;CT-013;C-17;0;432;0
01/04/2026;CT-008;I-02;0;436;0
01/04/2026;CT-009;IL-01;0;436;0
01/04/2026;CT-009;IL-05;0;436;0
01/04/2026;CT-013;C-18;0;436;0
01/04/2026;CT-032;LMA02;0;436;0
01/04/2026;CT-010;C-07;0;453,25;0
01/04/2026;CT-007;I-01;0;465;0
01/04/2026;CT-007;I-04;0;465;0
01/04/2026;CT-008;I-03;0;465;0
01/04/2026;CT-009;IL-04;0;465;0
01/04/2026;CT-009;IL-26;0;465;0
01/04/2026;CT-009;IL-29;0;465;0
01/04/2026;CT-009;IL-31;0;465;0
01/04/2026;CT-009;IL-32;0;465;0
01/04/2026;CT-010;C-09;0;465;0
01/04/2026;CT-010;C-11;0;465;0
01/04/2026;CT-010;C-28;0;465;0
01/04/2026;CT-010;C-30;0;465;0
01/04/2026;CT-010;IL-02;0;465;0
01/04/2026;CT-014;C-24;0;465;0
01/04/2026;CT-029;C-27;0;465;0
01/04/2026;CT-029;C-33;0;465;0
01/04/2026;CT-030;IA01;0;465;0
01/04/2026;CT-030;IA02;0;465;0
01/04/2026;CT-031;RBA01;0;465;0
01/04/2026;CT-031;RBA02;0;465;0
01/04/2026;CT-031;RBA03;0;465;0
01/04/2026;CT-032;LMA01;0;465;0
01/04/2026;CT-020;EX19;0;516;0
01/04/2026;M.RECUPER-01;MOLINOSTARLINGER;0;528;0
01/04/2026;MOLINO;MOLINO;0;528;0
01/04/2026;MOLINO;MOLINOBIO;0;528;0
01/04/2026;MOLINO;MOLINONGR;0;528;0
01/04/2026;MOLINO;MOLINOSTALINGER;0;528;0
01/04/2026;CT-020;EX07;0;529;0
01/04/2026;CT-004;B8;0;581,25;0
01/04/2026;CT-015;C-12;0;604,5;0
01/04/2026;CT-018;EX06;0;648;0
01/04/2026;CT-018;EX09;0;648;0
01/04/2026;CT-018;EX18;0;648;0
01/04/2026;CT-003;B14;0;662;0
01/04/2026;CT-003;B2;0;668;0
01/04/2026;CT-018;EX04;0;672;0
01/04/2026;CT-018;EX10;0;672;0
01/04/2026;CT-035;B3;0;690;0
01/04/2026;CT-035;B17;0;692;0
01/04/2026;CT-003;B13;0;696;0
01/04/2026;CT-004;B12;0;697,5;0
01/04/2026;CT-005;B16;0;697,5;0
01/04/2026;CT-020;EX17;0;710;0
01/04/2026;CT-003;B4;0;716;0
01/04/2026;CT-006;B5;0;716;0
01/04/2026;CT-003;B18;0;720;0
01/04/2026;CT-006;B15;0;720;0
01/04/2026;CT-017;EX14;0;720;0
01/04/2026;CT-018;EX01;0;720;0
01/04/2026;CT-018;EX02;0;720;0
01/04/2026;CT-018;EX03;0;720;0
01/04/2026;CT-018;EX08;0;720;0
01/04/2026;CT-020;EX11;0;720;0
01/04/2026;CT-020;EX13;0;720;0
01/04/2026;CT-020;EX15;0;720;0
01/04/2026;CT-020;EX20;0;720;0
01/04/2026;CT-020;EX22;0;720;0
01/04/2026;CT-026;EA05;0;720;0
01/04/2026;CT-027;EA06;0;720;0
01/04/2026;CT-033;EX16;0;720;0
01/04/2026;CT-034;EX05;0;720;0
01/04/2026;CT-034;EX21;0;720;0
01/04/2026;CT-034;EX23;0;720;0
01/04/2026;CT-034;EX24;0;720;0
01/05/2026;CT-028;C-25;90,0945;139,5;0,64583871
01/05/2026;CT-016;C-20;112,65;139,5;0,807526882
01/05/2026;CT-030;IA01;159,64;424,25;0,376287566
01/05/2026;CT-030;IA02;159,64;424,25;0,376287566
01/05/2026;CT-001;B9;180,3;279;0,646236559
01/05/2026;CT-001;B10;184,8;279;0,662365591
01/05/2026;CT-029;C-27;212,7;424,25;0,501355333
01/05/2026;CT-029;C-33;212,7;424,25;0,501355333
01/05/2026;CT-032;LMA01;212,7;424,25;0,501355333
01/05/2026;CT-032;LMA02;212,7;424,25;0,501355333
01/05/2026;CT-014;C-24;223,22;424,25;0,526152033
01/05/2026;CT-009;IL-29;225,03;302,25;0,744516129
01/05/2026;CT-010;C-09;240,6;424,25;0,567118444
01/05/2026;CT-010;C-11;240,6;424,25;0,567118444
01/05/2026;CT-010;IL-02;240,6;424,25;0,567118444
01/05/2026;CT-031;RBA01;241,06;424,25;0,568202711
01/05/2026;CT-031;RBA02;241,06;424,25;0,568202711
01/05/2026;CT-031;RBA03;241,06;424,25;0,568202711
01/05/2026;CT-013;C-17;261,03;424,25;0,615274013
01/05/2026;CT-013;C-18;261,03;424,25;0,615274013
01/05/2026;CT-009;IL-01;263,93;416,5;0,633685474
01/05/2026;CT-009;IL-26;263,93;418,5;0,630657109
01/05/2026;CT-009;IL-04;263,93;424,25;0,622109605
01/05/2026;CT-009;IL-05;263,93;424,25;0,622109605
01/05/2026;CT-009;IL-31;263,93;424,25;0,622109605
01/05/2026;CT-009;IL-32;263,93;424,25;0,622109605
01/05/2026;CT-010;C-30;267,89;420,25;0,637453896
01/05/2026;CT-010;C-07;267,89;424,25;0,631443724
01/05/2026;CT-010;C-28;267,89;424,25;0,631443724
