No_;Anchura;Galga;Se fabrica;No_ Mezcla Operativa;Abrefacil;Anchura Bobina (mm);Ancho Total Extrusión;Tratado;Tipo
2000009;0;90;1;MO-100008;0;1050;1050;0;BOB TUBO
2000010;0;90;1;MO-100108;1;1050;1050;0;BOB SETUBO
2000011;0;60;1;MO-100008;0;550;1100;0;BOB SETUBO
2000012;0;62;1;MO-100008;0;550;1100;0;BOB TUBO
2000013;0;60;1;MO-100008;0;590;1180;0;BOB SETUBO
2000018;0;55;1;MO-100008;1;600;1200;0;BOB SETUBO
2000019;0;55;1;MO-100008;1;600;1200;0;BOB SETUBO
2000020;0;55;1;MO-100008;1;600;1200;0;BOB SETUBO
2000022;0;60;1;;0;600;1200;0;BOB TUBO
2000027;60;65;1;MO-100008;0;600;1200;0;BOB SETUBO
2000029;0;75;1;MO-100008;0;600;1200;0;BOB SETUBO
2000031;0;75;1;MO-100008;0;600;1200;0;BOB SETUBO
2000032;0;100;1;MO-100008;0;650;1300;0;BOB TUBO
2000033;0;110;1;MO-100008;0;650;1300;0;BOB TUBO
2000034;0;60;1;MO-100008;0;650;1300;0;BOB TUBO
2000038;0;60;1;;0;650;1300;0;BOB SETUBO
2000039;0;62;1;MO-100008;0;650;1300;0;BOB TUBO
2000042;0;65;1;MO-100008;0;650;1300;0;BOB SETUBO
2000043;0;65;1;MO-100008;0;650;1300;0;BOB SETUBO
2000044;0;65;1;MO-100008;0;650;1300;0;BOB SETUBO
2000047;0;70;1;MO-100008;0;650;1300;0;BOB TUBO
2000048;0;75;1;MO-100008;0;650;1300;0;BOB SETUBO
2000050;0;75;1;MO-100008;0;650;1300;0;BOB SETUBO
2000054;0;95;1;MO-100008;0;650;1300;0;BOB TUBO
2000057;0;65;1;MO-100008;0;690;1380;0;BOB SETUBO
2000058;0;65;1;MO-100008;0;700;1400;0;BOB SETUBO
2000060;0;65;1;MO-100008;0;690;1380;0;BOB SETUBO
2000061;0;80;1;MO-100008;0;700;1400;0;BOB TUBO
2000062;0;90;1;MO-100008;0;790;1580;0;BOB SETUBO
2000063;0;85;1;MO-100008;0;850;850;0;BOB TUBO
2000067;0;90;1;MO-100008;0;900;900;0;BOB TUBO
2000069;0;165;1;MO-100030;0;1020;1020;0;BOB TUBO
2000070;0;170;1;;0;1020;1020;0;BOB TUBO
2000071;0;80;1;;1;1020;1020;0;BOB SETUBO
2000073;0;100;1;MO-100008;0;1050;1050;0;BOB TUBO
2000080;0;100;1;MO-100108;1;1050;1050;0;BOB SETUBO
2000081;0;105;1;;1;1050;1050;0;BOB SETUBO
2000083;0;115;1;MO-100030;1;1050;1050;0;BOB SETUBO
2000084;0;120;1;MO-100030;1;1050;1050;0;BOB SETUBO
2000087;0;130;1;MO-100108;1;1040;1040;0;BOB SETUBO
2000091;0;150;1;;0;1050;1050;0;BOB TUBO
2000092;0;75;1;MO-100030;1;1050;1050;0;BOB SETUBO
2000093;0;80;1;MO-100008;0;1050;1050;0;BOB TUBO
2000094;0;80;1;MO-100008;0;1050;1050;0;BOB TUBO
2000096;0;80;1;MO-100030;1;1050;1050;0;BOB SETUBO
2000097;0;80;1;MO-100108;0;1050;1050;0;BOB TUBO
2000107;0;90;1;MO-100008;0;1050;1050;0;BOB TUBO
2000108;0;90;1;MO-100030;1;1050;1050;0;BOB SETUBO
2000109;0;90;1;MO-100045;1;1050;2100;0;BOB SETUBO
2000111;0;95;1;MO-100008;0;1050;1050;0;BOB TUBO
2000112;0;95;1;MO-100030;0;1050;1050;0;BOB TUBO
2000113;0;105;1;;0;1070;1070;0;BOB TUBO
2000114;0;110;1;MO-100008;0;1070;2140;0;BOB SETUBO
2000116;0;70;1;MO-100008;0;1070;1070;0;BOB SETUBO
2000117;106;70;1;MO-100008;0;1060;1060;0;BOB SETUBO
2000118;0;70;1;MO-100008;0;1070;1070;0;BOB SETUBO
2000119;0;70;1;MO-100008;0;1070;1070;0;BOB TUBO
2000121;107;70;1;MO-100008;0;1070;1070;0;BOB SETUBO
2000122;0;70;1;MO-100008;0;1070;1070;0;BOB SETUBO
2000124;0;70;1;MO-100008;0;1070;1070;0;BOB SETUBO
