MES,CM,CT,HORAS_TOTALES,EFICIENCIA,HORAS_EFICIENTES
2026-04-01,C-20,CT-016,155,0,0
2026-04-01,C-25,CT-028,155,0,0
2026-04-01,B9,CT-001,300.25,0,0
2026-04-01,B10,CT-001,300.25,0,0
2026-04-01,C-17,CT-013,432,0,0
2026-04-01,I-02,CT-008,436,0,0
2026-04-01,IL-01,CT-009,436,0,0
2026-04-01,IL-05,CT-009,436,0,0
2026-04-01,C-18,CT-013,436,0,0
2026-04-01,LMA02,CT-032,436,0,0
2026-04-01,C-07,CT-010,453.25,0,0
2026-04-01,I-01,CT-007,465,0,0
2026-04-01,I-04,CT-007,465,0,0
2026-04-01,I-03,CT-008,465,0,0
2026-04-01,IL-04,CT-009,465,0,0
2026-04-01,IL-26,CT-009,465,0,0
2026-04-01,IL-29,CT-009,465,0,0
2026-04-01,IL-31,CT-009,465,0,0
2026-04-01,IL-32,CT-009,465,0,0
2026-04-01,C-09,CT-010,465,0,0
2026-04-01,C-11,CT-010,465,0,0
2026-04-01,C-28,CT-010,465,0,0
2026-04-01,C-30,CT-010,465,0,0
2026-04-01,IL-02,CT-010,465,0,0
2026-04-01,C-24,CT-014,465,0,0
2026-04-01,C-27,CT-029,465,0,0
2026-04-01,C-33,CT-029,465,0,0
2026-04-01,IA01,CT-030,465,0,0
2026-04-01,IA02,CT-030,465,0,0
2026-04-01,RBA01,CT-031,465,0,0
2026-04-01,RBA02,CT-031,465,0,0
2026-04-01,RBA03,CT-031,465,0,0
2026-04-01,LMA01,CT-032,465,0,0
2026-04-01,EX19,CT-020,516,0,0
2026-04-01,MOLINOSTARLINGER,M.RECUPER-01,528,0,0
2026-04-01,MOLINO,MOLINO,528,0,0
2026-04-01,MOLINOBIO,MOLINO,528,0,0
2026-04-01,MOLINONGR,MOLINO,528,0,0
2026-04-01,MOLINOSTALINGER,MOLINO,528,0,0
2026-04-01,EX07,CT-020,529,0,0
2026-04-01,B8,CT-004,581.25,0,0
2026-04-01,C-12,CT-015,604.5,0,0
2026-04-01,EX06,CT-018,648,0,0
2026-04-01,EX09,CT-018,648,0,0
2026-04-01,EX18,CT-018,648,0,0
2026-04-01,B14,CT-003,662,0,0
2026-04-01,B2,CT-003,668,0,0
2026-04-01,EX04,CT-018,672,0,0
2026-04-01,EX10,CT-018,672,0,0
2026-04-01,B3,CT-035,690,0,0
2026-04-01,B17,CT-035,692,0,0
2026-04-01,B13,CT-003,696,0,0
2026-04-01,B12,CT-004,697.5,0,0
2026-04-01,B16,CT-005,697.5,0,0
2026-04-01,EX17,CT-020,710,0,0
2026-04-01,B4,CT-003,716,0,0
2026-04-01,B5,CT-006,716,0,0
2026-04-01,B18,CT-003,720,0,0
2026-04-01,B15,CT-006,720,0,0
2026-04-01,EX14,CT-017,720,0,0
2026-04-01,EX01,CT-018,720,0,0
2026-04-01,EX02,CT-018,720,0,0
2026-04-01,EX03,CT-018,720,0,0
2026-04-01,EX08,CT-018,720,0,0
2026-04-01,EX11,CT-020,720,0,0
2026-04-01,EX13,CT-020,720,0,0
2026-04-01,EX15,CT-020,720,0,0
2026-04-01,EX20,CT-020,720,0,0
2026-04-01,EX22,CT-020,720,0,0
2026-04-01,EA05,CT-026,720,0,0
2026-04-01,EA06,CT-027,720,0,0
2026-04-01,EX16,CT-033,720,0,0
2026-04-01,EX05,CT-034,720,0,0
2026-04-01,EX21,CT-034,720,0,0
2026-04-01,EX23,CT-034,720,0,0
2026-04-01,EX24,CT-034,720,0,0
2026-05-01,C-25,CT-028,139.5,64.583871,900945
2026-05-01,C-20,CT-016,139.5,807.526882,112.65
2026-05-01,IA01,CT-030,424.25,376.287566,159.64
2026-05-01,IA02,CT-030,424.25,376.287566,159.64
2026-05-01,B9,CT-001,279,646.236559,180.3
2026-05-01,B10,CT-001,279,662.365591,184.8
2026-05-01,C-27,CT-029,424.25,501.355333,212.7
