MES,REFERENCIA,CANTIDAD
2026-04-01,2000109,3168
2026-04-01,2000979,725
2026-04-01,2000981,1603
2026-04-01,2001003,12470
2026-04-01,2001121,22113
2026-04-01,2001231,1609
2026-04-01,2001577,18574
2026-04-01,2001604,5748
2026-04-01,2001606,1473
2026-04-01,2001614,12078
2026-04-01,2001619,3680
2026-04-01,2002020,56133
2026-04-01,2002442,9306
2026-04-01,2002496,1650
2026-04-01,2002556,1969
2026-04-01,2002599,1347
2026-04-01,2002859,38
2026-04-01,2003163,370
2026-04-01,2003554,9832
2026-04-01,2004225,1802
2026-04-01,2004894,5046
2026-04-01,2005591,4284
2026-04-01,2005669,406
2026-04-01,2005943,3525
2026-04-01,2006222,973
2026-04-01,2006655,4396
2026-04-01,2009442,1296
2026-04-01,2009486,1732
2026-04-01,2009517,247
2026-04-01,2009518,247
2026-04-01,2009532,3877
2026-04-01,2009680,850
2026-04-01,2009841,295
2026-04-01,2009880,50000
2026-04-01,2009951,996
2026-04-01,2010131,188
2026-04-01,2010169,393
2026-04-01,2010253,392
2026-04-01,2010277,1870
2026-04-01,2010360,247
2026-04-01,2010361,247
2026-04-01,2010374,558
2026-04-01,2010460,746
2026-04-01,2010461,746
2026-04-01,2010886,8020
2026-04-01,2010995,2397
2026-04-01,2011103,2973
2026-04-01,2011275,14430
2026-04-01,2011276,8789
2026-04-01,2011799,15508
2026-04-01,2011822,7953
2026-04-01,2011849,63640
2026-04-01,2012035,6481
2026-04-01,2012141,135
2026-04-01,2012142,5981
2026-04-01,2012154,7932
2026-04-01,2012208,30492
2026-04-01,2012466,3224
2026-04-01,2012488,10
2026-04-01,2012489,6
2026-04-01,2012496,24924
2026-04-01,2012497,6248
2026-04-01,2012499,61208
2026-04-01,2012500,26463
2026-04-01,2012559,4356
2026-04-01,2012563,3300
2026-04-01,2012623,4738
2026-04-01,2012687,975
2026-04-01,2012750,6317
2026-04-01,2012754,580
2026-04-01,2012841,891
2026-04-01,2012964,9388
2026-04-01,2013169,27266
2026-04-01,2013176,640
2026-04-01,2013177,1254
2026-04-01,2013205,17668
2026-04-01,2013348,2008
2026-04-01,2013349,6826
2026-04-01,2013426,1751
2026-04-01,2013441,4364
2026-04-01,2013442,738
2026-04-01,2013448,6738
2026-04-01,2013451,8730
2026-04-01,2013453,5728
2026-04-01,2013627,207
2026-04-01,2013640,14085
2026-04-01,2013730,2917
2026-04-01,2013974,840000
2026-04-01,2013986,1230
2026-04-01,2013987,2368
2026-04-01,2013997,760724
2026-04-01,2013998,362250
2026-04-01,2014029,886548
