MEZCLA,EXTRUSORA,RS_MIN,RS_MAXIMO,GMAX_SOLDADURA
MO-100008,EX17,3,4,60
MO-100008,EX15,3,4,60
MO-100008,EX11,3,4,60
MO-100008,EX13,3,4,60
MO-100030,EX15,3,4,60
MO-100030,EX17,3,4,60
MO-100030,EX13,3,4,60
MO-100030,EX11,3,4,60
MO-100038,EX11,3,4,60
MO-100038,EX13,3,4,60
MO-100038,EX15,3,4,60
MO-100038,EX17,3,4,60
MO-100045,EX15,3,4,60
MO-100045,EX17,3,4,60
MO-100191,EX17,3,4,60
MO-100191,EX15,3,4,60
MO-100191,EX11,3,4,60
MO-100192,EX11,3,4,60
MO-100192,EX15,3,4,60
MO-100192,EX17,3,4,60
MO-100116,EX15,3,4,60
MO-100116,EX17,3,4,60
MO-100116,EX19,3,4,60
MO-100116,EX22,3,4,60
MO-100203,EX15,3,4,60
MO-100203,EX17,3,4,60
MO-100203,EX19,3,4,60
MO-100203,EX22,3,4,60
MO-100165,EX17,3,4,60
MO-100165,EX15,3,4,60
MO-100165,EX19,3,4,60
MO-100165,EX22,3,4,60
MO-1000185,EX07,3,4,60
MO-1000185,EX20,3,4,60
MO-1000185,EX05,3,4,60
MO-1000185,EX22,3,4,60
MO-100200,EX22,3,4,60
MO-100200,EX20,3,4,60
MO-100188,EX20,3,4,60
MO-100188,EX22,3,4,60
MO-100099,EX20,3,4,60
MO-100099,EX22,3,4,60
MO-100099,EX05,3,4,60
MO-100174,EX20,3,4,60
MO-100174,EX22,3,4,60
MO-100174,EX05,3,4,60
MO-100076,EX22,3,4,60
MO-100076,EX20,3,4,60
