REFERENCIA,ANCHO,GALGA,TIPO,MEZCLA,TRATAMIENTO,ABREFACIL,FUELLE
2000009,1050,90,BOB TUBO,MO-100008,NO,NO,0
2000010,1050,90,BOB SETUBO,MO-100108,NO,SI,0
2000011,550,60,BOB SETUBO,MO-100008,NO,NO,0
2000012,550,62,BOB TUBO,MO-100008,NO,NO,0
2000013,590,60,BOB SETUBO,MO-100008,NO,NO,0
2000018,600,55,BOB SETUBO,MO-100008,NO,SI,0
2000019,600,55,BOB SETUBO,MO-100008,NO,SI,0
2000020,600,55,BOB SETUBO,MO-100008,NO,SI,0
2000022,600,60,BOB TUBO,,NO,NO,0
2000027,600,65,BOB SETUBO,MO-100008,NO,NO,0
2000029,600,75,BOB SETUBO,MO-100008,NO,NO,0
2000031,600,75,BOB SETUBO,MO-100008,NO,NO,0
2000032,650,100,BOB TUBO,MO-100008,NO,NO,0
2000033,650,110,BOB TUBO,MO-100008,NO,NO,0
2000034,650,60,BOB TUBO,MO-100008,NO,NO,0
2000038,650,60,BOB SETUBO,,NO,NO,0
2000039,650,62,BOB TUBO,MO-100008,NO,NO,0
2000042,650,65,BOB SETUBO,MO-100008,NO,NO,0
2000043,650,65,BOB SETUBO,MO-100008,NO,NO,0
2000044,650,65,BOB SETUBO,MO-100008,NO,NO,0
2000047,650,70,BOB TUBO,MO-100008,NO,NO,0
2000048,650,75,BOB SETUBO,MO-100008,NO,NO,0
2000050,650,75,BOB SETUBO,MO-100008,NO,NO,0
2000054,650,95,BOB TUBO,MO-100008,NO,NO,0
2000057,690,65,BOB SETUBO,MO-100008,NO,NO,0
2000058,700,65,BOB SETUBO,MO-100008,NO,NO,0
2000060,690,65,BOB SETUBO,MO-100008,NO,NO,0
2000061,700,80,BOB TUBO,MO-100008,NO,NO,0
2000062,790,90,BOB SETUBO,MO-100008,NO,NO,0
2000063,850,85,BOB TUBO,MO-100008,NO,NO,0
2000067,900,90,BOB TUBO,MO-100008,NO,NO,0
2000069,1020,165,BOB TUBO,MO-100030,NO,NO,0
2000070,1020,170,BOB TUBO,,NO,NO,0
2000071,1020,80,BOB SETUBO,,NO,SI,0
2000073,1050,100,BOB TUBO,MO-100008,NO,NO,0
2000080,1050,100,BOB SETUBO,MO-100108,NO,SI,0
2000081,1050,105,BOB SETUBO,,NO,SI,0
2000083,1050,115,BOB SETUBO,MO-100030,NO,SI,0
2000084,1050,120,BOB SETUBO,MO-100030,NO,SI,0
2000087,1040,130,BOB SETUBO,MO-100108,NO,SI,0
2000091,1050,150,BOB TUBO,,NO,NO,0
2000092,1050,75,BOB SETUBO,MO-100030,NO,SI,0
2000093,1050,80,BOB TUBO,MO-100008,NO,NO,0
2000094,1050,80,BOB TUBO,MO-100008,NO,NO,0
2000096,1050,80,BOB SETUBO,MO-100030,NO,SI,0
2000097,1050,80,BOB TUBO,MO-100108,NO,NO,0
2000107,1050,90,BOB TUBO,MO-100008,NO,NO,0
2000108,1050,90,BOB SETUBO,MO-100030,NO,SI,0
2000109,1050,90,BOB SETUBO,MO-100045,NO,SI,0
2000111,1050,95,BOB TUBO,MO-100008,NO,NO,0
2000112,1050,95,BOB TUBO,MO-100030,NO,NO,0
2000113,1070,105,BOB TUBO,,NO,NO,0
2000114,1070,110,BOB SETUBO,MO-100008,NO,NO,0
2000116,1070,70,BOB SETUBO,MO-100008,NO,NO,0
2000117,1060,70,BOB SETUBO,MO-100008,NO,NO,0
2000118,1070,70,BOB SETUBO,MO-100008,NO,NO,0
2000119,1070,70,BOB TUBO,MO-100008,NO,NO,0
2000121,1070,70,BOB SETUBO,MO-100008,NO,NO,0
2000122,1070,70,BOB SETUBO,MO-100008,NO,NO,0
2000124,1070,70,BOB SETUBO,MO-100008,NO,NO,0
2000125,1060,70,BOB SETUBO,MO-100045,NO,NO,0
2000126,1070,70,BOB SETUBO,MO-100045,NO,NO,0
2000127,1070,70,BOB SETUBO,MO-100008,NO,NO,0
2000131,1080,120,BOB TUBO,,NO,NO,0
2000135,1080,85,BOB SETUBO,MO-100008,NO,SI,0
2000136,1080,85,BOB SETUBO,MO-100008,NO,SI,0
2000137,1080,85,BOB SETUBO,MO-100008,NO,SI,0
2000138,1080,85,BOB SETUBO,MO-100030,NO,SI,0
2000139,1080,85,BOB SETUBO,MO-100008,NO,SI,0
2000142,1080,85,BOB SETUBO,MO-100045,NO,SI,0
2000143,1080,85,BOB SETUBO,MO-100108,NO,SI,0
2000145,1100,100,BOB SETUBO,MO-100045,NO,SI,0
2000146,1100,105,BOBINAS PE,MO-100030,NO,NO,0
2000147,1100,120,BOB SETUBO,MO-100008,NO,SI,0
2000148,1100,120,BOB SETUBO,MO-100008,NO,SI,0
2000149,1100,120,BOB SETUBO,MO-100008,NO,SI,0
2000151,1100,120,BOB SETUBO,MO-100108,NO,SI,0
2000153,1100,140,BOBINAS PE,,NO,NO,0
2000155,1100,80,BOBINAS PE,,NO,NO,0
2000160,550,60,BOBINAS PE,MO-100008,NO,NO,0
2000161,550,62,BOBINAS PE,MO-100008,NO,NO,0
2000164,580,50,BOB SETUBO,MO-100045,NO,SI,0
2000165,580,55,BOB SETUBO,MO-100008,NO,SI,0
2000166,580,55,BOB SETUBO,MO-100008,NO,SI,0
2000168,580,55,BOB SETUBO,MO-100030,NO,SI,0
2000171,600,50,BOBINAS PE,MO-100008,NO,NO,0
2000172,600,55,BOBINAS PE,MO-100008,NO,NO,0
2000173,600,55,BOBINAS PE,MO-100008,NO,NO,0
2000174,600,55,BOB SETUBO,MO-100008,NO,SI,0
2000177,600,55,BOB SETUBO,MO-100045,NO,SI,0
2000179,600,60,BOB TUBO,MO-100008,NO,NO,0
2000180,600,60,BOB TUBO,MO-100008,NO,NO,0
2000181,600,60,BOB TUBO,MO-100008,NO,NO,0
2000182,600,60,BOB SETUBO,MO-100008,NO,SI,0
2000183,600,60,BOB SETUBO,MO-100030,NO,SI,0
2000185,600,62,BOB TUBO,MO-100008,NO,NO,0
2000188,600,65,BOB TUBO,,NO,NO,0
2000189,600,70,BOB TUBO,,NO,NO,0
2000190,600,70,BOB SETUBO,MO-100030,NO,SI,0
2000192,600,75,BOB TUBO,MO-100008,NO,NO,0
2000193,600,75,BOB TUBO,MO-100008,NO,NO,0
2000194,600,75,BOB TUBO,,NO,NO,0
2000195,600,75,BOB TUBO,,NO,NO,0
2000198,650,130,BOB TUBO,,NO,NO,0
2000199,650,60,BOB TUBO,MO-100008,NO,NO,0
2000200,650,60,BOB TUBO,MO-100008,NO,NO,0
2000201,650,60,BOB TUBO,MO-100008,NO,NO,0
2000203,650,60,BOB TUBO,,NO,NO,0
2000204,650,62,BOB TUBO,MO-100008,NO,NO,0
2000205,650,62,BOB TUBO,,NO,NO,0
2000207,650,65,BOB SETUBO,MO-100008,NO,NO,0
2000208,650,65,BOB TUBO,MO-100008,NO,NO,0
2000209,650,65,BOB TUBO,MO-100008,NO,NO,0
2000211,650,65,BOB TUBO,,NO,NO,0
2000213,650,70,BOB TUBO,MO-100008,NO,NO,0
2000217,650,72,BOB TUBO,,NO,NO,0
2000218,650,75,BOB TUBO,MO-100008,NO,NO,0
2000219,650,75,BOB TUBO,,NO,NO,0
2000220,650,75,BOB SETUBO,MO-100008,NO,NO,0
2000221,650,75,BOB SETUBO,,NO,NO,0
2000222,650,75,BOB TUBO,MO-100008,NO,NO,0
2000223,650,75,BOB TUBO,,NO,NO,0
2000224,650,75,BOB TUBO,,NO,NO,0
2000226,650,80,BOB TUBO,MO-100008,NO,NO,0
2000227,650,80,BOB TUBO,MO-100008,NO,NO,0
2000228,700,65,BOB SETUBO,MO-100030,NO,SI,0
2000230,700,65,BOB TUBO,MO-100008,NO,NO,0
2000231,700,80,BOB TUBO,MO-100008,NO,NO,0
2000232,800,100,BOB SETUBO,MO-100008,NO,SI,0
2000234,800,145,BOB TUBO,,NO,NO,0
2000236,800,80,BOB SETUBO,MO-100030,NO,NO,0
2000238,800,90,BOB TUBO,MO-100008,NO,NO,0
2000243,840,80,BOB TUBO,MO-100004,NO,NO,0
2000246,850,75,BOB TUBO,,NO,NO,0
2000247,850,80,BOB SETUBO,MO-100008,NO,SI,0
2000249,850,85,BOB TUBO,MO-100008,NO,NO,0
2000250,850,85,BOB SETUBO,MO-100008,NO,SI,0
2000251,850,85,BOB TUBO,MO-100030,NO,NO,0
2000252,850,90,BOB TUBO,MO-100030,NO,NO,0
2000255,900,100,BOB TUBO,MO-100008,NO,NO,0
2000256,900,100,BOB TUBO,MO-100008,NO,NO,0
2000261,900,120,BOB TUBO,MO-100008,NO,NO,0
2000262,900,120,BOB TUBO,MO-100008,NO,NO,0
2000264,900,140,BOB TUBO,MO-100008,NO,NO,0
2000265,900,140,BOB TUBO,MO-100008,NO,NO,0
2000266,900,140,BOB TUBO,MO-100030,NO,NO,0
2000268,900,140,BOB TUBO,MO-100030,NO,NO,0
2000269,900,140,BOB TUBO,MO-100108,NO,NO,0
2000270,900,150,BOB TUBO,MO-100008,NO,NO,0
2000271,900,150,BOB TUBO,MO-100008,NO,NO,0
2000272,900,150,BOB TUBO,MO-100008,NO,NO,0
2000273,900,150,BOB TUBO,MO-100008,NO,NO,0
2000275,900,150,BOB TUBO,MO-100045,NO,NO,0
2000278,900,170,BOB TUBO,,NO,NO,0
2000281,900,90,BOB TUBO,MO-100008,NO,NO,0
2000283,900,95,BOB TUBO,MO-100030,NO,NO,0
2000288,1000,95,BOB TUBO,MO-100004,NO,NO,0
2000291,1060,120,BOB TUBO,MO-100004,NO,NO,0
2000296,1200,65,BOB TUBO,MO-100003,NO,NO,0
2000299,1200,95,BOB TUBO,MO-100004,NO,NO,0
2000301,1250,80,BOB TUBO,MO-100004,NO,NO,0
2000303,1260,95,BOB TUBO,MO-100004,NO,NO,0
2000307,1470,120,BOB TUBO,MO-100004,NO,NO,0
2000308,1470,120,BOB TUBO,MO-100004,NO,NO,0
2000309,1470,120,BOB TUBO,MO-100004,NO,NO,0
2000310,1500,95,BOB TUBO,MO-100004,NO,NO,0
2000311,600,120,BOB TUBO,MO-100004,NO,NO,0
2000315,840,150,BOB TUBO,MO-100004,NO,NO,0
2000317,900,100,BOB TUBO,MO-100004,NO,NO,0
2000318,900,90,BOB TUBO,MO-100004,NO,NO,0
2000321,980,120,BOB TUBO,MO-100004,NO,NO,0
2000322,980,120,BOB TUBO,MO-100004,NO,NO,0
2000323,600,60,BOB TUBO,,NO,NO,0
2000324,840,90,BOB TUBO,MO-100004,NO,NO,0
2000325,840,95,BOB TUBO,MO-100004,NO,NO,0
2000326,900,90,BOB TUBO,MO-100004,NO,NO,0
2000327,1200,65,BOB TUBO,MO-100003,NO,NO,0
2000330,840,85,BOB TUBO,MO-100004,NO,NO,0
2000331,840,85,BOB TUBO,MO-100004,NO,NO,0
2000332,1030,34,BOB LAMI,MO-100001,NO,NO,0
2000333,1070,36,BOB LAMI,MO-100001,NO,NO,0
2000334,1110,34,BOB LAMI,MO-100001,NO,NO,0
2000335,430,36,BOB LAMI,MO-100001,NO,NO,0
2000336,490,36,BOB LAMI,MO-100001,NO,NO,0
2000337,530,36,BOB LAMI,MO-100001,NO,NO,0
2000338,630,37,BOB LAMI,MO-100001,NO,NO,0
2000339,660,34,BOB LAMI,MO-100001,NO,NO,0
2000340,730,37,BOB LAMI,MO-100001,NO,NO,0
2000341,760,120,BOB LAMI,MO-100056,NO,NO,0
2000342,990,34,BOB LAMI,MO-100001,NO,NO,0
2000343,990,36,BOB LAMI,MO-100001,NO,NO,0
2000344,1000,100,BOB TUBO,MO-100056,NO,NO,0
2000356,1080,150,BOB TUBO,MO-100056,NO,NO,0
2000357,1100,120,BOB TUBO,MO-100056,NO,NO,0
2000359,1100,80,BOB TUBO,MO-100056,NO,NO,0
2000360,1120,140,BOB TUBO,MO-100056,NO,NO,0
2000361,1130,120,BOB TUBO,MO-100056,NO,NO,0
2000368,1200,80,BOB TUBO,MO-100056,NO,NO,0
2000369,1200,90,BOB TUBO,MO-100056,NO,NO,0
2000372,1250,120,BOB TUBO,MO-100056,NO,NO,0
2000374,1700,200,BOB TUBO,MO-100056,NO,NO,300
2000376,600,115,BOB TUBO,MO-100056,NO,NO,0
2000377,600,90,BOB TUBO,MO-100056,NO,NO,0
2000379,730,180,BOB TUBO,MO-100091,NO,NO,0
2000381,790,105,BOB TUBO,MO-100056,NO,NO,0
2000383,880,80,BOB TUBO,MO-100056,NO,NO,0
2000384,930,140,BOB TUBO,MO-100056,NO,NO,0
2000385,970,140,BOB TUBO,MO-100056,NO,NO,0
2000386,980,120,BOB TUBO,MO-100056,NO,NO,0
2000387,1000,100,BOB TUBO,MO-100004,NO,NO,0
2000388,1000,110,BOB TUBO,MO-100004,NO,NO,0
2000389,1000,120,BOB TUBO,MO-100004,NO,NO,0
2000391,1000,50,BOB TUBO,MO-100002,NO,NO,0
2000392,1000,70,BOB TUBO,MO-100002,NO,NO,0
2000393,1000,70,BOB TUBO,MO-100002,NO,NO,0
2000394,1000,75,BOB TUBO,MO-100002,NO,NO,0
2000395,1000,75,BOB TUBO,MO-100002,NO,NO,0
2000396,1000,80,BOB TUBO,MO-100004,NO,NO,0
2000397,1000,80,BOB TUBO,MO-100024,NO,NO,0
2000398,1000,90,BOB TUBO,MO-100004,NO,NO,0
2000399,1000,95,BOB TUBO,MO-100004,NO,NO,0
2000400,1050,70,BOB TUBO,MO-100003,NO,NO,0
2000402,1100,120,BOB TUBO,MO-100004,NO,NO,0
2000404,1200,35,BOB TUBO,MO-100001,NO,NO,0
2000405,1200,35,BOB TUBO,MO-100001,NO,NO,0
2000407,1200,70,BOB TUBO,MO-100003,NO,NO,0
2000409,1250,35,BOB TUBO,MO-100001,NO,NO,0
2000411,1290,70,BOB TUBO,MO-100003,NO,NO,0
2000413,600,120,BOB TUBO,MO-100004,NO,NO,0
2000415,600,50,BOB TUBO,MO-100002,NO,NO,0
2000416,600,50,BOB TUBO,MO-100002,NO,NO,0
2000418,600,55,BOB TUBO,MO-100002,NO,NO,0
2000419,600,55,BOB TUBO,MO-100002,NO,NO,0
2000420,600,60,BOB TUBO,MO-100002,NO,NO,0
2000421,600,60,BOB TUBO,MO-100002,NO,NO,0
2000423,600,60,BOB TUBO,MO-100002,NO,NO,0
2000424,600,60,BOB TUBO,MO-100002,NO,NO,0
2000426,600,70,BOB TUBO,MO-100002,NO,NO,0
2000427,600,70,BOB TUBO,MO-100002,NO,NO,0
2000430,600,80,BOB TUBO,MO-100004,NO,NO,0
2000433,700,140,BOB TUBO,MO-100004,NO,NO,0
2000436,700,50,BOB TUBO,MO-100002,NO,NO,0
2000438,700,55,BOB TUBO,MO-100002,NO,NO,0
2000439,700,58,BOB TUBO,MO-100002,NO,NO,0
2000441,700,60,BOB TUBO,MO-100002,NO,NO,0
